participant_id,sample_id,timestamp,segment_id,BPM,ECG,RESP,label
1,0,500,1,-1.3287958,-0.49151585,-0.0778396,0.037
1,0,1000,1,-1.3732919,0.13852094,-0.01769707,0.0523
1,0,1500,1,-1.3075414,-0.5305821,0.46647647,0.0703
1,0,2000,1,-0.9329838,0.108177885,0.4110781,0.0911
1,0,2500,1,-0.79158914,0.15915856,0.28912187,0.1147
1,0,3000,1,-0.73706263,-0.27373764,0.12487276,0.1411
1,0,3500,1,-0.72596496,-0.034654457,0.051912453,0.1702
1,0,4000,1,-0.69276476,-0.0682029,-0.152509,0.2019
1,0,4500,1,-0.75483805,-0.06362042,-0.15181655,0.238
1,0,5000,2,-0.8593326,-0.1773787,0.09219073,0.2748
1,0,5500,2,-0.5819924,-0.265743,0.29237926,0.3113
1,0,6000,2,-0.62835,0.09600964,0.2083313,0.3477
1,0,6500,2,-0.65679055,-0.49662474,0.14415196,0.3823
1,0,7000,2,-0.63862675,0.025274968,0.108479805,0.4158
1,0,7500,2,-0.750268,0.09248936,-0.10152444,0.4478
1,0,8000,2,-0.75359756,-0.2893369,-0.22557378,0.4778
1,0,8500,2,-0.66083187,-0.16236697,-0.20634682,0.5055
1,0,9000,2,-0.6202766,-0.056250855,-2.552173,0.5308
1,0,9500,2,-0.51175517,0.39293548,-1.0066198,0.5535
1,0,10000,2,-0.42851606,-0.44765565,-2.0835106,0.5734
1,0,10500,3,-0.41435468,0.032686833,-0.123644345,0.5905
1,0,11000,3,-0.36141655,0.07120786,0.97775364,0.6049
1,0,11500,3,-0.24645072,-0.07673806,0.7663385,0.6164
1,0,12000,3,-0.26635715,-0.07169028,0.6514991,0.6256
1,0,12500,3,-0.41435468,-0.4378938,0.5387093,0.6325
1,0,13000,3,-0.68151534,0.13519336,0.4685909,0.6371
1,0,13500,3,-0.82265663,0.11597045,0.2792942,0.6398
1,0,14000,3,-1.0396241,-0.002830902,0.098892584,0.6408
1,0,14500,3,-1.1772162,0.3477029,0.025326785,0.6407
1,0,15000,3,-1.240034,-0.24458839,-0.45382977,0.6395
1,0,15500,3,-1.1779804,-0.05823425,-0.77199113,0.6377
1,0,16000,4,-1.0666685,0.2153045,0.09173347,0.6356
1,0,16500,4,-0.9761213,-1.2190161,0.66997963,0.6331
1,0,17000,4,-0.69935447,0.31092086,0.6047959,0.6305
1,0,17500,4,-0.7146626,0.44640714,0.45604506,0.6279
1,0,18000,4,-0.70310444,-0.14283386,0.38842797,0.6253
1,0,18500,4,-0.6330359,0.053427838,0.09516129,0.6228
1,0,19000,4,-0.6235357,0.2355896,0.017413648,0.6206
1,0,19500,4,-0.57755,0.31362805,-0.12135398,0.6185
1,0,20000,4,-0.5227213,-0.4116162,-0.078778915,0.6167
1,0,20500,4,-0.47582182,0.18635732,-0.5139198,0.6153
1,0,21000,4,-0.42677104,-0.061011933,0.38246906,0.6143
1,0,21500,4,-0.3526073,-0.016028441,0.49449402,0.6133
1,0,22000,4,-0.31035194,-0.45275512,0.42667326,0.6125
1,0,22500,4,-0.38924706,0.020405792,0.33517757,0.6116
1,0,23000,4,-0.66044533,0.12284652,0.2500146,0.6107
1,0,23500,5,-0.78580755,-0.34278032,0.1605166,0.6097
1,0,24000,5,-0.87474203,-0.037530843,0.15269509,0.6085
1,0,24500,5,-0.9717468,0.21152571,-0.06641198,0.6073
1,0,25000,5,-0.96025467,-0.22464637,-0.014504444,0.6056
1,0,25500,5,-0.76819247,0.049536258,-0.6342737,0.6037
1,0,26000,5,-0.69458705,0.090637565,-1.2711766,0.6015
1,0,26500,5,-0.6640736,0.12069393,-0.9779081,0.5991
1,0,27000,5,-0.6438868,-0.028723083,-2.115989,0.5965
1,0,27500,5,-0.6048411,-0.32022983,-1.8438597,0.5937
1,0,28000,5,-0.5833928,-0.110187806,0.82642704,0.5909
1,0,28500,5,-0.5853272,-0.009175872,0.2669646,0.5881
1,0,29000,5,-0.63862675,0.4274286,0.051593803,0.5854
1,0,29500,5,-0.71072245,0.24231057,-0.31424394,0.5827
1,0,30000,5,-0.7219155,-0.11819657,-0.6330563,0.5802
1,0,30500,5,-0.70449686,-0.27819324,-1.835326,0.5777
1,0,31000,6,-0.64244723,-0.15736619,0.8819302,0.5753
1,0,31500,6,-0.58670795,-0.015506743,1.4174817,0.5729
1,0,32000,6,-0.52713954,-0.3690955,1.24191,0.5705
1,0,32500,6,-0.45757377,0.12278542,1.0148057,0.5683
1,0,33000,6,-0.6381949,0.3228494,0.74528426,0.5665
1,0,33500,6,-0.7359352,0.054607533,0.6054294,0.5649
1,0,34000,6,-0.8499194,0.05963181,0.33299896,0.5637
1,0,34500,7,-0.89749116,0.24748525,-0.0029548462,0.5628
1,0,35000,7,-0.8190729,-0.03617255,-0.31350684,0.5622
1,0,35500,7,-0.67732155,0.008167047,-0.4746494,0.5619
1,0,36000,7,-0.58790845,-0.0901471,-0.40318632,0.5619
1,0,36500,7,-0.5359279,0.15416248,-1.1591486,0.5623
1,0,37000,7,-0.38011533,-0.20623186,-2.7267818,0.5629
1,0,37500,7,-0.3275282,-0.2583123,-2.5737455,0.5635
1,0,38000,7,-0.27906013,0.26856464,-1.3736913,0.5644
1,0,38500,7,-0.3392497,0.09239066,-1.8909782,0.5657
1,0,39000,7,-0.38225028,0.11142087,-0.32049933,0.5671
1,0,39500,8,-0.42273706,-0.40446284,2.2000313,0.5685
1,0,40000,8,-0.5588783,-0.02688069,2.088344,0.5698
1,0,40500,8,-0.41376513,-0.08081764,1.7813994,0.5707
1,0,41000,8,-0.4466663,-0.12304695,1.465383,0.5713
1,0,41500,8,-0.5991536,-0.27900633,1.1844891,0.5714
1,0,42000,8,-0.80469376,0.29839543,0.9467845,0.5709
1,0,42500,9,-0.9045802,-0.12713122,0.64267755,0.5704
1,0,43000,9,-1.0752627,0.050673652,0.3963598,0.5692
