participant_id,sample_id,timestamp,segment_id,BPM,ECG,RESP,label
6,0,500,1,0.2594214,0.016016012,2.1378987,0.2779
6,0,1000,1,0.37163472,-0.006092687,2.3824165,0.3229
6,0,1500,1,0.42698264,0.022346882,1.7965577,0.3686
6,0,2000,1,0.43592596,-0.02735539,1.4538684,0.4155
6,0,2500,1,0.43721348,-0.10073145,1.2636213,0.4628
6,0,3000,1,0.30795294,0.07954562,1.1064881,0.5105
6,0,3500,1,0.027472476,-0.7920654,0.7870414,0.5587
6,0,4000,1,-0.048927218,-0.20680997,0.6029581,0.6071
6,0,4500,1,-0.035677183,0.13699345,0.45719624,0.6413
6,0,5000,1,0.028321309,0.036578417,0.029229078,0.663
6,0,5500,1,0.115282156,0.11307056,-0.75641406,0.6798
6,0,6000,2,0.20868105,0.09472655,-1.4977211,0.6925
6,0,6500,2,0.2776322,0.32619578,0.8404401,0.7019
6,0,7000,2,0.5178406,-0.6295307,0.70887387,0.7097
6,0,7500,2,0.5178406,0.061732702,0.5606868,0.716
6,0,8000,2,0.5656439,-0.03394476,0.41882518,0.7201
6,0,8500,2,0.5746141,-0.15929788,-0.018673446,0.7229
6,0,9000,2,0.60175973,-0.098663464,-0.14373359,0.7244
6,0,9500,2,0.64493847,-0.1776842,-0.48602772,0.7241
6,0,10000,2,0.7047405,-0.069020696,-1.8012776,0.7225
6,0,10500,2,0.767818,-0.03342776,-2.1033282,0.7197
6,0,11000,2,0.829341,-0.060908534,-2.8415751,0.7157
6,0,11500,2,0.8991297,-0.043321215,-3.1148257,0.7106
6,0,12000,2,1.0032736,-0.23912232,1.9975417,0.7043
6,0,12500,2,1.1121917,-0.016667638,1.9810385,0.6969
6,0,13000,2,1.1490492,-0.02935288,1.6513904,0.6884
6,0,13500,2,1.095189,0.1924344,1.3129362,0.679
6,0,14000,2,0.8666821,0.2800937,1.1155542,0.6689
6,0,14500,2,0.41450253,0.06740087,0.8586772,0.6582
6,0,15000,2,-0.14665405,0.14772351,0.80581784,0.6478
6,0,15500,2,-0.42058447,-0.46219268,0.57251394,0.637
6,0,16000,2,-0.46689573,0.37670174,0.54342544,0.6259
6,0,16500,2,-0.511547,0.050269455,0.5721083,0.6145
6,0,17000,2,-0.56468195,-0.43175092,0.44234547,0.603
6,0,17500,2,-0.6600531,0.04203509,0.2741033,0.5915
6,0,18000,2,-0.7275098,0.14268982,-0.23467018,0.5799
6,0,18500,2,-0.8043864,0.11711725,0.06792111,0.5683
6,0,19000,2,-0.705296,-0.53166777,0.2595128,0.5567
6,0,19500,2,-0.6150871,-0.10091475,0.21086036,0.5451
6,0,20000,2,-0.52965915,-0.30394912,-0.06429231,0.5334
6,0,20500,2,-0.45145482,-0.047250398,0.027541868,0.5226
6,0,21000,2,-0.3421895,0.09247526,-0.30747554,0.5117
6,0,21500,2,-0.28873515,-0.07467007,-0.78625363,0.5007
6,0,22000,2,-0.20856734,-0.31445357,-0.73152053,0.4895
6,0,22500,2,-0.07620312,-0.19699171,-1.6555645,0.4771
6,0,23000,2,0.10520752,0.077609226,-2.9755857,0.4646
6,0,23500,2,0.18550552,-0.015896842,-1.1838956,0.4518
6,0,24000,3,0.43150166,-0.4165747,1.3439019,0.4389
6,0,24500,3,0.55335766,-0.0057636886,1.1874334,0.4268
6,0,25000,3,0.6831749,-0.07157748,0.9868045,0.4144
6,0,25500,3,0.6939397,-0.1772894,0.5860907,0.4018
6,0,26000,3,0.5918595,-0.18007179,0.19182162,0.389
6,0,26500,3,0.51341635,0.09592974,0.15406832,0.3761
